"Genetic.group","Latitude","Longitude","Biomass.yield","Plant.height","Number.of.stems","Stem.diameter","Height.over.stems","Approx.volume"
"S Japan",32.71,131.3,6666.4,241.7,226.7,7.6,1.06616674018527,3164866.2064
"SE China/tropical",-9.5,147.117,22731.8,225.8,255.8,11.4,0.882720875684128,7506442.8144
"Sichuan",30.218,103.481,12930.5,306.3,237.1,9.2,1.29185997469422,6146872.5072
"M. xgiganteus 2x",29.898,114.292,5860.3,269.6,237.6,8,1.13468013468013,4099645.44
"SE China/tropical",25.773,109.592,16861.5,335.8,236.5,8.5,1.41987315010571,5737856.575
